作业 16831428 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=4443  val batches=743

--- Epoch 1/100 (lr=5.00e-04) ---
    [train] iter 4300/4443  loss=0.3592
    [train] iter 4320/4443  loss=0.4815
    [train] iter 4340/4443  loss=0.3529
    [train] iter 4360/4443  loss=0.4403
    [train] iter 4380/4443  loss=0.3340
    [train] iter 4400/4443  loss=0.3726
    [train] iter 4420/4443  loss=0.3106
    [train] iter 4440/4443  loss=0.4445
  train_loss=0.4068  val_loss=0.3973  val_dice=0.5900
  [best] val_dice=0.5900 已保存

--- Epoch 3/100 (lr=5.00e-04) ---
    [train] iter 20/4443  loss=0.5158
    [train] iter 40/4443  loss=0.3601
    [train] iter 60/4443  loss=0.2694
    [train] iter 80/4443  loss=0.3963
    [train] iter 100/4443  loss=0.3184
    [train] iter 120/4443  loss=0.4426
    [train] iter 140/4443  loss=0.3977
    [train] iter 160/4443  loss=0.4940
    [train] iter 180/4443  loss=0.5038
    [train] iter 200/4443  loss=0.4333
    [train] iter 220/4443  loss=0.3477
    [train] iter 240/4443  loss=0.2478
    [train] iter 260/4443  loss=0.3951
    [train] iter 280/4443  loss=0.5101
    [train] iter 300/4443  loss=0.4759
    [train] iter 320/4443  loss=0.3383
    [train] iter 340/4443  loss=0.3789
    [train] iter 360/4443  loss=0.3144
    [train] iter 380/4443  loss=0.4820
    [train] iter 400/4443  loss=0.3216
    [train] iter 420/4443  loss=0.3425
    [train] iter 440/4443  loss=0.4571
    [train] iter 460/4443  loss=0.4318
    [train] iter 480/4443  loss=0.3931
    [train] iter 500/4443  loss=0.3197
    [train] iter 520/4443  loss=0.4909
    [train] iter 540/4443  loss=0.3261
    [train] iter 560/4443  loss=0.4042
    [train] iter 580/4443  loss=0.4448
    [train] iter 600/4443  loss=0.5700
    [train] iter 620/4443  loss=0.3266
    [train] iter 640/4443  loss=0.4178
    [train] iter 660/4443  loss=0.3762
    [train] iter 680/4443  loss=0.4605
    [train] iter 700/4443  loss=0.2520
    [train] iter 720/4443  loss=0.4618
    [train] iter 740/4443  loss=0.4930
    [train] iter 760/4443  loss=0.3473
    [train] iter 780/4443  loss=0.4268
    [train] iter 800/4443  loss=0.5407
    [train] iter 820/4443  loss=0.4082
    [train] iter 840/4443  loss=0.3294
    [train] iter 860/4443  loss=0.4336
    [train] iter 880/4443  loss=0.4152
    [train] iter 900/4443  loss=0.2598
    [train] iter 920/4443  loss=0.4219
    [train] iter 940/4443  loss=0.4222
    [train] iter 960/4443  loss=0.4503
    [train] iter 980/4443  loss=0.5270
    [train] iter 1000/4443  loss=0.2957
    [train] iter 1020/4443  loss=0.2837
    [train] iter 1040/4443  loss=0.4809
    [train] iter 1060/4443  loss=0.3895
    [train] iter 1080/4443  loss=0.3343
    [train] iter 1100/4443  loss=0.2823
    [train] iter 1120/4443  loss=0.3580
    [train] iter 1140/4443  loss=0.3887
    [train] iter 1160/4443  loss=0.2290
    [train] iter 1180/4443  loss=0.4558
    [train] iter 1200/4443  loss=0.3670
    [train] iter 1220/4443  loss=0.3068
    [train] iter 1240/4443  loss=0.4952
    [train] iter 1260/4443  loss=0.3359
    [train] iter 1280/4443  loss=0.3427
    [train] iter 1300/4443  loss=0.4739
    [train] iter 1320/4443  loss=0.3204
    [train] iter 1340/4443  loss=0.4431
    [train] iter 1360/4443  loss=0.5213
    [train] iter 1380/4443  loss=0.3480
    [train] iter 1400/4443  loss=0.4464
    [train] iter 1420/4443  loss=0.4417
    [train] iter 1440/4443  loss=0.4365
    [train] iter 1460/4443  loss=0.2896
    [train] iter 1480/4443  loss=0.3786
    [train] iter 1500/4443  loss=0.4217
    [train] iter 1520/4443  loss=0.3417
    [train] iter 1540/4443  loss=0.4098
    [train] iter 1560/4443  loss=0.4455
    [train] iter 1580/4443  loss=0.3739
    [train] iter 1600/4443  loss=0.3293
    [train] iter 1620/4443  loss=0.3959
    [train] iter 1640/4443  loss=0.4390
    [train] iter 1660/4443  loss=0.2975
    [train] iter 1680/4443  loss=0.4564
    [train] iter 1700/4443  loss=0.4589
    [train] iter 1720/4443  loss=0.5481
    [train] iter 1740/4443  loss=0.4567
    [train] iter 1760/4443  loss=0.3819
    [train] iter 1780/4443  loss=0.4204
    [train] iter 1800/4443  loss=0.3984
    [train] iter 1820/4443  loss=0.4178
    [train] iter 1840/4443  loss=0.3995
    [train] iter 1860/4443  loss=0.4431
    [train] iter 1880/4443  loss=0.3945
    [train] iter 1900/4443  loss=0.4601
    [train] iter 1920/4443  loss=0.4144
    [train] iter 1940/4443  loss=0.3913
    [train] iter 1960/4443  loss=0.2929
    [train] iter 1980/4443  loss=0.3881
    [train] iter 2000/4443  loss=0.2204
    [train] iter 2020/4443  loss=0.3967
    [train] iter 2040/4443  loss=0.2698
    [train] iter 2060/4443  loss=0.3713
    [train] iter 2080/4443  loss=0.3779
    [train] iter 2100/4443  loss=0.3763
    [train] iter 2120/4443  loss=0.4295
    [train] iter 2140/4443  loss=0.2958
    [train] iter 2160/4443  loss=0.3179
    [train] iter 2180/4443  loss=0.2736
    [train] iter 2200/4443  loss=0.2652
    [train] iter 2220/4443  loss=0.4069
    [train] iter 2240/4443  loss=0.4079
    [train] iter 2260/4443  loss=0.4381
    [train] iter 2280/4443  loss=0.3954
    [train] iter 2300/4443  loss=0.5172
    [train] iter 2320/4443  loss=0.3488
    [train] iter 2340/4443  loss=0.3869
    [train] iter 2360/4443  loss=0.4102
    [train] iter 2380/4443  loss=0.4047
    [train] iter 2400/4443  loss=0.3022
    [train] iter 2420/4443  loss=0.5206
