作业 17180024 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
    [train] iter 10440/15452  loss=0.1319
    [train] iter 10460/15452  loss=0.1234
    [train] iter 10480/15452  loss=0.2266
    [train] iter 10500/15452  loss=0.1401
    [train] iter 10520/15452  loss=0.3106
    [train] iter 10540/15452  loss=0.1961
    [train] iter 10560/15452  loss=0.1677
    [train] iter 10580/15452  loss=0.2775
    [train] iter 10600/15452  loss=0.1885
    [train] iter 10620/15452  loss=0.1848
    [train] iter 10640/15452  loss=0.1188
    [train] iter 10660/15452  loss=0.2500
    [train] iter 10680/15452  loss=0.2698
    [train] iter 10700/15452  loss=0.1874
    [train] iter 10720/15452  loss=0.1619
    [train] iter 10740/15452  loss=0.2896
    [train] iter 10760/15452  loss=0.2850
    [train] iter 10780/15452  loss=0.1906
    [train] iter 10800/15452  loss=0.2158
    [train] iter 10820/15452  loss=0.3519
    [train] iter 10840/15452  loss=0.2006
    [train] iter 10860/15452  loss=0.2693
    [train] iter 10880/15452  loss=0.1270
    [train] iter 10900/15452  loss=0.2086
    [train] iter 10920/15452  loss=0.2305
    [train] iter 10940/15452  loss=0.3719
    [train] iter 10960/15452  loss=0.1775
    [train] iter 10980/15452  loss=0.2985
    [train] iter 11000/15452  loss=0.1656
    [train] iter 11020/15452  loss=0.2390
